"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"1",0,0.125,0,0,0.383333333333333,0.333333333333333,0,0,0.1,0,0,0.25,0.25,0,0.840136054421769
"2",0.225,0.416666666666667,0,0.988888888888889,0.848611111111111,0.759523809523809,1,0,0.704166666666667,0.194444444444444,0.28968253968254,0.516666666666667,1,0.804421768707483,0.607936507936508
"3",0.580442176870748,0.723299319727891,0,1,0.976543209876543,0.988888888888889,0.733333333333333,0.52,1,0.58015873015873,0.443492063492063,0.986111111111111,1,1,0.92826278659612
"4",0.266666666666667,0.387698412698413,0,1,0.648941798941799,0.1,0.375,0.111111111111111,0.5,0.111111111111111,0.111111111111111,0,0.95,0.429861111111111,0.408333333333333
"5",0,0,0,0.278571428571429,0.25,0.320634920634921,0.698412698412698,0.142857142857143,0.111111111111111,0.294444444444444,0.294444444444444,0.1625,0.875,0.337301587301587,0.25
"6",0,0.366666666666667,0,0.677777777777778,0.44375,0.777777777777778,0,0,0.498809523809524,0.142857142857143,0.142857142857143,0.275793650793651,0.643849206349206,0.488888888888889,0.408333333333333
"7",0.777777777777778,0.683333333333333,0,0.962654320987654,1,0.970486111111111,0.416666666666667,1,0.986111111111111,0.70218253968254,0.70218253968254,0.729166666666667,0.848639455782313,0.941517857142857,0.982142857142857
"8",0.526289682539683,0.56547619047619,0,0.609523809523809,0.666666666666667,0.566666666666667,0.609523809523809,0,0.306349206349206,1,1,0.173611111111111,0.755555555555556,0.468253968253968,0.528571428571429
"9",0,0,0,0.911111111111111,0.892857142857143,0.25,1,0.111111111111111,0.875,0.743333333333333,0.743333333333333,0.85,0.625925925925926,0.777777777777778,1
"10",0,0.553571428571428,0,1,1,1,0.796190476190476,0,1,0.196428571428571,0.345833333333333,1,1,1,1
"11",0.125,0.5,0,0.667619047619048,0.729166666666667,0.75,0,0.125,0.804166666666667,1,0.527777777777778,0.533333333333333,0.855257936507936,0.808333333333333,0.680687830687831
"12",0,0,0,1,0.942857142857143,0.183333333333333,0,0.225,0.666666666666667,0.556632653061224,0.604251700680272,0.968253968253968,0.855257936507936,0.848639455782313,0.8375
"13",0.2,0.125,0,0.329166666666667,0.5,0.698412698412698,0,0,0.916666666666667,0.317460317460317,0.317460317460317,0,0.957142857142857,1,0.416666666666667
